rate,actual_req_sec,corrected_avg,corrected_p50,corrected_p99,corrected_p99_9,uncorrected_avg,uncorrected_p50,uncorrected_p99,uncorrected_p99_9,success
1000,975.71,1398.049,1317.0,3935.0,8903.0,645.287,543.0,2959.0,7799.0,True
2000,1957.33,1373.039,1282.0,4423.0,12271.0,624.007,505.0,3185.0,11783.0,True
3000,2940.94,1326.76,1230.0,4167.0,10943.0,588.46,473.0,3167.0,8647.0,True
4000,3924.07,1277.757,1199.0,3677.0,11999.0,532.721,427.0,2619.0,8999.0,True
5000,4909.16,1222.659,1171.0,2991.0,7703.0,488.076,411.0,2107.0,6075.0,True
6000,5965.36,1198.864,1109.0,3907.0,9735.0,471.411,369.0,2987.0,8719.0,True
7000,6876.86,1263.292,1172.0,4127.0,11343.0,519.189,394.0,3317.0,9991.0,True
8000,7854.83,1573.131,1216.0,8983.0,14375.0,796.027,386.0,8103.0,12559.0,True
9000,8942.48,1301.988,1145.0,6355.0,12111.0,564.595,359.0,5535.0,11087.0,True
10000,9806.35,1333.155,1199.0,5559.0,11751.0,572.408,405.0,4667.0,10455.0,True
20000,19623.59,1402.737,1281.0,4367.0,15111.0,620.894,476.0,3335.0,13975.0,True
30000,29429.47,1646.259,1442.0,5151.0,18207.0,801.617,651.0,3651.0,13871.0,True
40000,39229.05,1848.633,1613.0,7191.0,21599.0,1035.063,874.0,4415.0,13151.0,True
50000,49028.33,4327.579,2521.0,65439.0,133119.0,2077.785,1770.0,6431.0,10927.0,True
55000,50136.3,386238.352,294655.0,2277375.0,3297279.0,5031.233,4899.0,8343.0,14175.0,True
60000,49516.97,691188.735,602623.0,2762751.0,3530751.0,5014.3,4939.0,8703.0,16431.0,True
65000,49685.84,1015602.676,987647.0,2729983.0,3813375.0,5021.798,4999.0,7715.0,11807.0,True
70000,49641.67,1279725.989,1255423.0,3360767.0,4415487.0,5031.217,4991.0,7755.0,14615.0,True
75000,49538.35,1536262.265,1512447.0,3713023.0,4837375.0,5043.025,5003.0,7691.0,10183.0,True
80000,50293.15,1706018.289,1693695.0,3883007.0,5050367.0,4975.902,4931.0,7603.0,11159.0,True
85000,50008.49,2019394.311,2025471.0,4268031.0,5292031.0,5063.775,4955.0,8535.0,17263.0,True
90000,50537.24,2009621.797,1969151.0,4669439.0,5541887.0,4952.161,4771.0,10367.0,18031.0,True
95000,50483.73,2188819.012,2177023.0,4784127.0,5775359.0,4957.132,4851.0,9039.0,15935.0,True
100000,50471.31,2307153.594,2295807.0,4866047.0,5894143.0,4958.582,4923.0,7595.0,13927.0,True
