rate,actual_req_sec,corrected_avg,corrected_p50,corrected_p99,corrected_p99_9,uncorrected_avg,uncorrected_p50,uncorrected_p99,uncorrected_p99_9,success
1000,993.65,1293.709,1259.0,2319.0,2555.0,511.212,507.0,687.0,719.0,True
2000,1985.47,1357.688,1312.0,2471.0,2625.0,555.68,565.0,748.0,788.0,True
3000,2699.52,2110.887,2101.0,3537.0,3727.0,1248.936,1286.0,1839.0,1996.0,True
4000,3969.54,1437.025,1383.0,2783.0,2991.0,619.007,634.0,907.0,995.0,True
5000,4960.97,1506.076,1434.0,2843.0,3053.0,672.382,694.0,992.0,1083.0,True
6000,5953.24,1566.744,1489.0,2965.0,3175.0,710.053,731.0,1081.0,1168.0,True
7000,6945.22,1607.103,1495.0,3039.0,3241.0,767.522,789.0,1179.0,1285.0,True
8000,7936.74,1595.771,1490.0,3197.0,3495.0,809.404,811.0,1294.0,1405.0,True
9000,8928.8,1723.17,1615.0,3237.0,3537.0,866.436,863.0,1396.0,1568.0,True
10000,8996.97,1934.748,1960.0,3075.0,3511.0,1226.079,1213.0,1836.0,1960.0,True
20000,17993.16,1650.202,1557.0,3377.0,4583.0,767.418,741.0,1441.0,1853.0,True
30000,29763.83,1205.828,1077.0,2997.0,3337.0,500.175,477.0,1036.0,1623.0,True
40000,39681.41,1059.637,955.0,2699.0,3429.0,422.145,408.0,856.0,1294.0,True
50000,49607.97,855.96,809.0,1694.0,2727.0,380.998,373.0,662.0,812.0,True
55000,54568.33,1524.664,881.0,17391.0,77759.0,428.91,428.0,735.0,866.0,True
60000,56588.26,255003.56,67903.0,1282047.0,1513471.0,532.284,529.0,773.0,896.0,True
65000,53434.72,479197.254,351231.0,1615871.0,1797119.0,518.674,515.0,780.0,898.0,True
70000,56029.03,907833.842,821247.0,2775039.0,3071999.0,548.83,559.0,802.0,908.0,True
75000,60810.37,967090.795,856063.0,2646015.0,2760703.0,506.812,502.0,759.0,875.0,True
80000,63817.5,980617.168,961023.0,2447359.0,2785279.0,480.834,467.0,767.0,871.0,True
85000,62883.85,1079622.998,870399.0,2981887.0,3164159.0,486.611,476.0,776.0,896.0,True
90000,65798.48,1515132.41,1513471.0,3348479.0,3551231.0,465.904,453.0,785.0,884.0,True
95000,62982.21,1183998.424,1123327.0,2770943.0,3018751.0,439.019,447.0,671.0,814.0,True
100000,64990.13,1904744.605,1974271.0,3926015.0,4202495.0,471.409,456.0,778.0,878.0,True
