rate,actual_req_sec,corrected_avg,corrected_p50,corrected_p99,corrected_p99_9,uncorrected_avg,uncorrected_p50,uncorrected_p99,uncorrected_p99_9,success
1000,1000.1,50.689,50.0,61.0,72.0,48.693,48.0,58.0,69.0,True
2000,2000.1,48.599,48.0,58.0,71.0,46.807,46.0,55.0,69.0,True
3000,3000.1,48.249,48.0,56.0,66.0,46.477,46.0,54.0,62.0,True
4000,4000.1,47.454,47.0,55.0,62.0,45.698,45.0,53.0,60.0,True
5000,5000.1,47.362,47.0,55.0,67.0,45.577,45.0,53.0,65.0,True
6000,6000.1,47.54,47.0,55.0,68.0,45.707,45.0,53.0,62.0,True
7000,7000.1,47.063,47.0,56.0,67.0,45.268,45.0,53.0,65.0,True
8000,8000.1,47.284,47.0,57.0,68.0,45.29,45.0,54.0,61.0,True
9000,9000.1,46.698,46.0,54.0,63.0,44.916,45.0,52.0,60.0,True
10000,10000.1,47.012,46.0,56.0,67.0,45.226,45.0,54.0,63.0,True
20000,20000.1,47.924,46.0,70.0,275.0,45.084,44.0,54.0,61.0,True
30000,21370.6,2594444.725,2594815.0,2871295.0,2877439.0,44.863,44.0,52.0,60.0,True
40000,21299.2,4212866.509,4214783.0,4669439.0,4677631.0,45.216,45.0,53.0,60.0,True
50000,21264.1,5179975.592,5181439.0,5738495.0,5746687.0,45.217,45.0,53.0,61.0,True
60000,21290.3,5815044.121,5816319.0,6438911.0,6451199.0,45.032,45.0,52.0,59.0,True
65000,21290.8,6063586.966,6066175.0,6713343.0,6725631.0,44.934,44.0,52.0,60.0,True
70000,21385.5,6260819.225,6262783.0,6934527.0,6946815.0,44.897,45.0,52.0,60.0,True
75000,21290.3,6455516.951,6459391.0,7147519.0,7163903.0,45.044,45.0,52.0,60.0,True
80000,21411.2,6601709.648,6602751.0,7311359.0,7323647.0,44.891,45.0,52.0,60.0,True
85000,21377.4,6745027.816,6746111.0,7471103.0,7487487.0,45.066,45.0,53.0,60.0,True
90000,21350.6,6876396.532,6877183.0,7614463.0,7626751.0,44.921,45.0,52.0,61.0,True
95000,21334.1,6989956.709,6991871.0,7741439.0,7753727.0,44.928,45.0,52.0,60.0,True
100000,21298.4,7095309.771,7098367.0,7856127.0,7872511.0,44.917,44.0,52.0,61.0,True
