rate,actual_req_sec,corrected_avg,corrected_p50,corrected_p99,corrected_p99_9,uncorrected_avg,uncorrected_p50,uncorrected_p99,uncorrected_p99_9,success
1000,1000.1,50.689,50.0,61.0,72.0,48.693,48.0,58.0,69.0,True
2000,2000.1,48.599,48.0,58.0,71.0,46.807,46.0,55.0,69.0,True
3000,3000.1,48.249,48.0,56.0,66.0,46.477,46.0,54.0,62.0,True
4000,4000.1,47.454,47.0,55.0,62.0,45.698,45.0,53.0,60.0,True
5000,5000.1,47.362,47.0,55.0,67.0,45.577,45.0,53.0,65.0,True
6000,6000.1,47.54,47.0,55.0,68.0,45.707,45.0,53.0,62.0,True
7000,7000.1,47.063,47.0,56.0,67.0,45.268,45.0,53.0,65.0,True
8000,8000.1,47.284,47.0,57.0,68.0,45.29,45.0,54.0,61.0,True
9000,9000.1,46.698,46.0,54.0,63.0,44.916,45.0,52.0,60.0,True
10000,10000.1,47.012,46.0,56.0,67.0,45.226,45.0,54.0,63.0,True
20000,20000.2,50.935,50.0,56.0,183.0,48.701,48.0,54.0,62.0,True
25000,25000.2,50.496,50.0,57.0,68.0,48.611,48.0,55.0,63.0,True
30000,30000.2,50.348,50.0,57.0,71.0,48.635,48.0,55.0,61.0,True
35000,35000.2,50.679,50.0,58.0,96.0,48.8,48.0,55.0,63.0,True
40000,40000.2,51.116,51.0,60.0,78.0,49.231,49.0,57.0,65.0,True
45000,41628.2,50.879,51.0,57.0,68.0,48.751,49.0,54.0,62.0,True
50000,46256.1,51.301,51.0,60.0,75.0,49.101,49.0,55.0,63.0,True
55000,50881.7,50.852,50.0,57.0,81.0,48.652,48.0,54.0,62.0,True
60000,55507.3,52.744,52.0,60.0,89.0,50.62,49.0,57.0,65.0,True
65000,60133.0,52.477,51.0,61.0,123.0,50.419,49.0,58.0,65.0,True
70000,64758.5,51.708,50.0,63.0,144.0,49.513,49.0,57.0,64.0,True
75000,69382.6,570.376,77.0,2449.0,2495.0,50.052,49.0,58.0,149.0,True
80000,71213.2,308463.756,311807.0,365567.0,367359.0,49.64,49.0,59.0,87.0,True
