rate,actual_req_sec,corrected_avg,corrected_p50,corrected_p99,corrected_p99_9,uncorrected_avg,uncorrected_p50,uncorrected_p99,uncorrected_p99_9,success
1000,1000.1,12.64,12.0,14.0,14.0,12.255,12.0,13.0,13.0,True
2000,2000.1,12.32,12.0,13.0,14.0,11.907,12.0,12.0,13.0,True
3000,3000.1,12.287,12.0,13.0,16.0,11.805,12.0,12.0,15.0,True
4000,4000.1,12.412,12.0,16.0,17.0,11.902,12.0,15.0,16.0,True
5000,5000.1,12.229,12.0,13.0,14.0,11.792,12.0,12.0,13.0,True
6000,6000.1,12.232,12.0,13.0,14.0,11.801,12.0,12.0,13.0,True
7000,7000.1,12.311,12.0,13.0,15.0,11.851,12.0,12.0,14.0,True
8000,8000.1,12.231,12.0,13.0,14.0,11.781,12.0,12.0,13.0,True
9000,9000.1,12.342,12.0,13.0,15.0,11.88,12.0,12.0,15.0,True
10000,10000.1,12.341,12.0,13.0,16.0,11.809,12.0,12.0,14.0,True
20000,20000.1,12.086,12.0,13.0,14.0,11.652,12.0,12.0,13.0,True
30000,30000.1,12.366,12.0,15.0,33.0,11.892,12.0,14.0,33.0,True
40000,40000.1,12.439,12.0,15.0,40.0,11.824,12.0,14.0,20.0,True
50000,50000.1,12.492,12.0,21.0,48.0,11.869,12.0,13.0,42.0,True
60000,60000.1,12.919,12.0,32.0,111.0,11.895,12.0,13.0,34.0,True
65000,65000.1,13.402,12.0,40.0,189.0,11.813,12.0,14.0,28.0,True
70000,70000.1,14.508,12.0,50.0,317.0,11.78,12.0,13.0,13.0,True
75000,75000.1,14.415,12.0,35.0,478.0,11.696,12.0,13.0,33.0,True
80000,79996.8,45.39,13.0,889.0,1002.0,11.596,12.0,13.0,15.0,True
85000,80234.0,513275.395,513791.0,560127.0,560639.0,11.541,12.0,13.0,14.0,True
90000,80028.3,1004564.97,1005055.0,1105919.0,1107967.0,11.579,12.0,13.0,14.0,True
95000,79999.4,1429371.597,1429503.0,1576959.0,1579007.0,11.572,12.0,13.0,14.0,True
100000,80573.9,1750266.34,1751039.0,1939455.0,1942527.0,11.571,12.0,13.0,14.0,True
