rate,actual_req_sec,corrected_avg,corrected_p50,corrected_p99,corrected_p99_9,uncorrected_avg,uncorrected_p50,uncorrected_p99,uncorrected_p99_9,success
1000,999.87,1091.159,1092.0,1845.0,1885.0,284.781,297.0,364.0,382.0,True
2000,1999.47,1029.26,1023.0,2115.0,2177.0,245.667,261.0,342.0,368.0,True
3000,2999.33,941.402,927.0,2091.0,2219.0,228.302,222.0,341.0,376.0,True
4000,3999.51,1404.944,1299.0,4163.0,5111.0,214.354,205.0,338.0,360.0,True
5000,4996.73,27604.166,19759.0,103935.0,110271.0,186.768,197.0,334.0,357.0,True
6000,5522.45,297518.32,287743.0,769535.0,793599.0,175.635,132.0,334.0,358.0,True
7000,5253.34,1306877.987,1213439.0,2447359.0,2490367.0,185.958,195.0,338.0,362.0,True
8000,5277.24,1403831.843,1238015.0,3348479.0,3397631.0,184.644,198.0,340.0,363.0,True
9000,5120.41,2233735.136,2217983.0,4255743.0,4304895.0,190.94,199.0,337.0,357.0,True
10000,5189.97,2455011.219,2498559.0,4784127.0,4804607.0,188.325,199.0,337.0,357.0,True
