rate,actual_req_sec,corrected_avg,corrected_p50,corrected_p99,corrected_p99_9,uncorrected_avg,uncorrected_p50,uncorrected_p99,uncorrected_p99_9,success
1000,993.7,1064.644,1056.0,2026.0,2303.0,298.321,296.0,454.0,485.0,True
2000,1985.66,1039.631,1016.0,2011.0,2275.0,292.874,286.0,449.0,489.0,True
3000,2977.72,1162.718,1146.0,2165.0,2439.0,328.689,325.0,490.0,543.0,True
4000,3969.51,1165.377,1137.0,2253.0,2503.0,360.959,357.0,547.0,611.0,True
5000,4961.42,1252.995,1183.0,2465.0,2737.0,435.049,423.0,836.0,979.0,True
6000,5953.23,1252.386,1145.0,2441.0,2849.0,450.954,437.0,885.0,1084.0,True
7000,6945.45,1470.766,1360.0,2769.0,2951.0,562.957,568.0,912.0,1039.0,True
8000,7937.97,1474.663,1368.0,3045.0,3233.0,630.973,638.0,1072.0,1176.0,True
9000,8930.41,1575.165,1424.0,3055.0,3243.0,670.804,672.0,1132.0,1245.0,True
10000,9921.14,1605.359,1506.0,3207.0,3601.0,738.02,730.0,1435.0,1727.0,True
20000,19843.3,1460.288,1363.0,3099.0,3349.0,587.036,557.0,1113.0,1325.0,True
30000,26991.95,1323.342,1250.0,2835.0,4651.0,475.102,467.0,875.0,1300.0,True
40000,39685.21,1219.978,1144.0,2629.0,2873.0,434.845,435.0,766.0,913.0,True
50000,49606.86,979.219,882.0,2697.0,3135.0,400.887,394.0,719.0,836.0,True
55000,54018.95,15787.068,1037.0,226303.0,273663.0,494.795,501.0,753.0,859.0,True
60000,58438.4,115035.505,46175.0,552959.0,634879.0,483.398,484.0,777.0,882.0,True
65000,64484.39,228713.547,138239.0,766463.0,782335.0,437.837,427.0,720.0,824.0,True
70000,64877.26,632026.6,619519.0,1405951.0,1506303.0,469.505,445.0,762.0,857.0,True
