rate,actual_req_sec,corrected_avg,corrected_p50,corrected_p99,corrected_p99_9,uncorrected_avg,uncorrected_p50,uncorrected_p99,uncorrected_p99_9,success
1000,1000.1,12.674,13.0,14.0,14.0,12.257,12.0,13.0,13.0,True
2000,2000.1,12.26,12.0,13.0,14.0,11.901,12.0,12.0,13.0,True
3000,3000.1,12.312,12.0,13.0,14.0,11.934,12.0,12.0,13.0,True
4000,4000.1,12.256,12.0,13.0,14.0,11.813,12.0,12.0,13.0,True
5000,5000.1,12.235,12.0,13.0,14.0,11.809,12.0,13.0,13.0,True
6000,6000.1,12.224,12.0,13.0,14.0,11.756,12.0,12.0,13.0,True
7000,7000.1,12.201,12.0,13.0,14.0,11.792,12.0,13.0,13.0,True
8000,8000.1,12.143,12.0,13.0,14.0,11.751,12.0,13.0,13.0,True
9000,9000.1,12.47,12.0,17.0,20.0,12.003,12.0,16.0,19.0,True
10000,10000.1,12.326,12.0,13.0,15.0,11.852,12.0,12.0,13.0,True
20000,20000.1,12.489,12.0,17.0,33.0,11.834,12.0,13.0,13.0,True
30000,30000.1,12.269,12.0,13.0,26.0,11.698,12.0,12.0,13.0,True
40000,40000.1,12.489,12.0,16.0,34.0,11.822,12.0,13.0,13.0,True
50000,50000.1,12.397,12.0,16.0,42.0,11.79,12.0,13.0,37.0,True
60000,59999.9,13.564,12.0,43.0,143.0,11.954,12.0,14.0,15.0,True
65000,65000.1,13.588,12.0,48.0,188.0,11.826,12.0,13.0,14.0,True
70000,70000.1,12.984,12.0,40.0,84.0,11.769,12.0,13.0,49.0,True
75000,75000.1,13.887,12.0,29.0,440.0,11.672,12.0,13.0,29.0,True
80000,79768.5,34138.513,34239.0,39935.0,40063.0,11.609,12.0,13.0,14.0,True
85000,80104.0,527025.744,526847.0,575487.0,575999.0,11.547,12.0,13.0,14.0,True
90000,80592.2,941507.7,941567.0,1043455.0,1045503.0,11.569,12.0,13.0,14.0,True
95000,79945.6,1434759.169,1434623.0,1582079.0,1585151.0,11.57,12.0,13.0,14.0,True
100000,79962.3,1810442.162,1810431.0,2000895.0,2003967.0,11.589,12.0,13.0,14.0,True
